Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
South Asian,Male,Pakistan,Self-taught,Computer science or software engineering,Other,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,Slovenia,Online course; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Somewhat agree,20 to 99 employees,Venture-funded startup,8
Middle Eastern,Female,Iran,Online course; Self-taught,Computer science or software engineering,Mobile developer,Somewhat agree,10 to 19 employees,Venture-funded startup,9
White or of European descent,Male,United States,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Systems administrator; DevOps specialist; Quality assurance engineer,Somewhat agree,10 000 or more employees,I don't know,9
I don’t know,Male,India,Online course; Part-time/evening course; Self-taught; Coding competition; Hackathon,Computer engineering or electrical/electronics engineering,Web developer; Embedded applications/devices developer; Desktop applications developer,Agree,10 to 19 employees,Pre-series A startup,9
White or of European descent,Male,Australia,On-the-job training; Open source contributions,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Slovenia,Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Disagree,100 to 499 employees,I don't know,8
Hispanic or Latino/Latina; White or of European descent,Male,Denmark,Online course; Self-taught; Open source contributions,Information technology  networking  or system administration,Web developer,Strongly disagree,1 000 to 4 999 employees,Publicly-traded corporation,10
White or of European descent,Male,Slovenia,On-the-job training; Self-taught,Computer science or software engineering,Web developer; Desktop applications developer,Agree,1 000 to 4 999 employees,State-owned company,5
White or of European descent,Male,Slovenia,Online course; Part-time/evening course; On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Mobile developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,New Zealand,Online course; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer,Disagree,5 000 to 9 999 employees,Publicly-traded corporation,3
White or of European descent,Male,Bulgaria,Industry certification; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; DevOps specialist,Somewhat agree,20 to 99 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Slovenia,Online course; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Mobile developer; Database administrator; Systems administrator; Quality assurance engineer,Agree,Fewer than 10 employees,Privately-held limited company  not in startup mode,5
White or of European descent,Female,United States,Online course; On-the-job training; Self-taught; Coding competition; Open source contributions,Computer science or software engineering,Web developer,Disagree,100 to 499 employees,I prefer not to answer,10
White or of European descent,Male,Ukraine,Bootcamp; On-the-job training; Self-taught; Open source contributions,A humanities discipline,DevOps specialist,Agree,1 000 to 4 999 employees,Privately-held limited company  not in startup mode,6
White or of European descent,Female,Spain,Online course; Part-time/evening course; On-the-job training; Self-taught,Computer engineering or electrical/electronics engineering,Web developer,Strongly disagree,100 to 499 employees,State-owned company,6
White or of European descent,Male,United Kingdom,Self-taught; Hackathon,Mathematics or statistics,Other,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,8
South Asian,Male,India,Part-time/evening course; Coding competition,Computer science or software engineering,Data scientist,Disagree,10 000 or more employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,Netherlands,Online course; On-the-job training; Self-taught,A business discipline,Web developer; Mobile developer; Graphics programming; Desktop applications developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,United Kingdom,Online course; Self-taught; Open source contributions,Computer science or software engineering,Data scientist; Other,Somewhat agree,10 000 or more employees,Publicly-traded corporation,8
South Asian,Female,Australia,On-the-job training; Self-taught; Coding competition,Something else,Mobile developer; Graphic designer; Other,Agree,20 to 99 employees,Privately-held limited company  not in startup mode,7
White or of European descent,Male,Israel,Online course; Self-taught; Open source contributions,Management information systems,Web developer; Systems administrator; DevOps specialist,Agree,10 to 19 employees,Venture-funded startup,7
